team_code,date,start_h_et,end_h_et,log_mins,opponent,tm,opp,w,l,streak
ATL,2021-05-23,19:00,21:20,140.0,New York Knicks,107,105,1,0,W 1
ATL,2021-05-26,19:30,21:56,146.0,New York Knicks,92,101,1,1,L 1
ATL,2021-05-28,19:00,21:22,142.0,New York Knicks,105,94,2,1,W 1
ATL,2021-05-30,13:00,15:19,139.0,New York Knicks,113,96,3,1,W 2
ATL,2021-06-02,19:30,21:52,142.0,New York Knicks,103,89,4,1,W 3
ATL,2021-06-06,13:00,15:30,150.0,Philadelphia 76ers,128,124,5,1,W 4
ATL,2021-06-08,19:30,21:57,147.0,Philadelphia 76ers,102,118,5,2,L 1
ATL,2021-06-11,19:30,22:03,153.0,Philadelphia 76ers,111,127,5,3,L 2
ATL,2021-06-14,19:30,22:03,153.0,Philadelphia 76ers,103,100,6,3,W 1
ATL,2021-06-16,19:30,22:10,160.0,Philadelphia 76ers,109,106,7,3,W 2
ATL,2021-06-18,19:30,22:06,156.0,Philadelphia 76ers,99,104,7,4,L 1
ATL,2021-06-20,20:00,22:35,155.0,Philadelphia 76ers,103,96,8,4,W 1
ATL,2021-06-23,20:30,22:49,139.0,Milwaukee Bucks,116,113,9,4,W 2
ATL,2021-06-25,20:30,22:48,138.0,Milwaukee Bucks,91,125,9,5,L 1
ATL,2021-06-27,20:30,22:54,144.0,Milwaukee Bucks,102,113,9,6,L 2
ATL,2021-06-29,20:30,22:50,140.0,Milwaukee Bucks,110,88,10,6,W 1
ATL,2021-07-01,20:30,22:54,144.0,Milwaukee Bucks,112,123,10,7,L 1
ATL,2021-07-03,20:30,22:53,143.0,Milwaukee Bucks,107,118,10,8,L 2
ATL,2022-04-17,13:00,15:16,136.0,Miami Heat,91,115,0,1,L 1
ATL,2022-04-19,19:30,22:00,150.0,Miami Heat,105,115,0,2,L 2
ATL,2022-04-22,19:45,22:09,144.0,Miami Heat,111,110,1,2,W 1
ATL,2022-04-24,19:00,21:21,141.0,Miami Heat,86,110,1,3,L 1
ATL,2022-04-26,19:00,21:45,165.0,Miami Heat,94,97,1,4,L 2
ATL,2023-04-15,15:30,17:44,134.0,Boston Celtics,99,112,0,1,L 1
ATL,2023-04-18,19:00,21:03,123.0,Boston Celtics,106,119,0,2,L 2
ATL,2023-04-21,19:00,21:19,139.0,Boston Celtics,130,122,1,2,W 1
ATL,2023-04-23,19:00,21:28,148.0,Boston Celtics,121,129,1,3,L 1
ATL,2023-04-25,19:30,21:48,138.0,Boston Celtics,119,117,2,3,W 1
ATL,2023-04-27,20:30,22:54,144.0,Boston Celtics,120,128,2,4,L 1
BOS,2018-04-15,13:00,15:50,170.0,Milwaukee Bucks,113,107,1,0,W 1
BOS,2018-04-17,20:00,22:16,136.0,Milwaukee Bucks,120,106,2,0,W 2
BOS,2018-04-20,21:30,23:43,133.0,Milwaukee Bucks,92,116,2,1,L 1
BOS,2018-04-22,13:00,15:25,145.0,Milwaukee Bucks,102,104,2,2,L 2
BOS,2018-04-24,19:00,21:32,152.0,Milwaukee Bucks,92,87,3,2,W 1
BOS,2018-04-26,20:00,22:20,140.0,Milwaukee Bucks,86,97,3,3,L 1
BOS,2018-04-28,20:00,22:22,142.0,Milwaukee Bucks,112,96,4,3,W 1
BOS,2018-04-30,20:00,22:22,142.0,Philadelphia 76ers,117,101,5,3,W 2
BOS,2018-05-03,20:30,22:53,143.0,Philadelphia 76ers,108,103,6,3,W 3
BOS,2018-05-05,17:00,19:43,163.0,Philadelphia 76ers,101,98,7,3,W 4
BOS,2018-05-07,18:00,20:27,147.0,Philadelphia 76ers,92,103,7,4,L 1
BOS,2018-05-09,20:00,22:39,159.0,Philadelphia 76ers,114,112,8,4,W 1
BOS,2018-05-13,15:30,17:38,128.0,Cleveland Cavaliers,108,83,9,4,W 2
BOS,2018-05-15,20:30,22:51,141.0,Cleveland Cavaliers,107,94,10,4,W 3
BOS,2018-05-19,20:30,22:47,137.0,Cleveland Cavaliers,86,116,10,5,L 1
BOS,2018-05-21,20:30,23:00,150.0,Cleveland Cavaliers,102,111,10,6,L 2
BOS,2018-05-23,20:30,22:51,141.0,Cleveland Cavaliers,96,83,11,6,W 1
